name,score,genres,type,episodes,premiered,producers,licensors,studios,source,rating,popularity,favorites
Oroka,0,Drama,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,16150,0
RE:Map,0,Drama,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,16557,0
Kiraware Mono no Rasu,0,"Drama, Fantasy",Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,17007,0
Hitori de Nayamanaide Issho ni Kangaeyou,0,Drama,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,15231,1
Inochi,0,"Drama, Music, Slice of Life",Music,1,unknown,unknown,unknown,unknown,Original,G - All Ages,15981,0
Otousan wa Ai no Hito,6.44,"Drama, Slice of Life",ONA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,12539,1
Pride,5.57,Slice of Life,ONA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,13243,0
Escalator-jou no Hokou no Kiken-sei,0,Drama,Special,1,unknown,unknown,unknown,unknown,Original,G - All Ages,16113,0
Kizuna (ONA),5.8,Drama,ONA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,13011,0
Itsumo Kokoro ni Ho,5.58,"Music, Slice of Life",ONA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,13028,0
Minna de Bokumetsu Inshu Unten,0,Drama,Special,1,unknown,unknown,unknown,unknown,Original,G - All Ages,14724,0
Uobbuchou,0,Comedy,ONA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,15564,3
High School Fleet OVA,7.21,"Action, Military, School",OVA,2,unknown,Cromea,unknown,Production IMS,Original,PG-13 - Teens 13 or older,4051,26
Rewrite 2nd Season,7.26,"Action, Military, Comedy, Supernatural, Romance, Fantasy",TV,11,Winter 2017,"Aniplex, Mainichi Broadcasting System, Movic, Visual Art's, Magic Capsule, ASCII Media Works, Bushiroad, Tokyo MX, BS11, Lawson",unknown,8bit,Visual novel,PG-13 - Teens 13 or older,1512,424
Xia Lan,0,"Action, Adventure, Historical, Supernatural, Drama, Magic, Martial Arts, Fantasy",TV,156,Winter 2012,unknown,unknown,Beijing Rocen Digital,Original,PG-13 - Teens 13 or older,12546,2
One Punch Man 2nd Season,7.41,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12,Spring 2019,"TV Tokyo, Good Smile Company, Shueisha, JR East Marketing & Communications, Bandai Namco Arts, Bandai Spirits",VIZ Media,J.C.Staff,Web manga,R - 17+ (violence & profanity),70,5937
Orange: Mirai,7.44,"Sci-Fi, Drama, Romance, School, Shoujo",Movie,1,unknown,TMS Entertainment,unknown,Telecom Animation Film,Manga,PG-13 - Teens 13 or older,1533,180
Eyedrops,5.22,Space,ONA,4,unknown,unknown,unknown,unknown,Original,G - All Ages,11561,3
Nyanko Days,6.61,"Slice of Life, Comedy",TV,12,Winter 2017,Quatre Stella,unknown,EMT Squared,4-koma manga,PG-13 - Teens 13 or older,2108,132
Landreaall,0,"Action, Adventure, Romance, Martial Arts, Fantasy",OVA,1,unknown,unknown,unknown,Will Palette,Manga,PG-13 - Teens 13 or older,9904,0
Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,7.19,"Action, Mystery, Horror, Psychological",OVA,1,unknown,unknown,unknown,Lerche,Original,R - 17+ (violence & profanity),1804,495
Eyedrops Episode 0,5.11,Space,ONA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,13048,0
PePePePengiin,0,Comedy,TV,13,Fall 2016,"TV Osaka, Sanrio, Being",unknown,DLE,Original,PG - Children,12553,2
Overlord Movie 1: Fushisha no Ou,7.62,"Action, Game, Supernatural, Magic, Fantasy",Movie,1,unknown,unknown,unknown,Madhouse,Light novel,R - 17+ (violence & profanity),2051,111
Minikui Ahiru no Ko,0,Kids,Movie,1,unknown,Gakken,unknown,unknown,Book,G - All Ages,16181,0
Tsubuyaki-tai,0,Comedy,ONA,52,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,15806,0
Tsubuyaki-tai Specials,0,Comedy,Special,2,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,16285,0
Oishi-sa Hajikeru! One Piece,6.02,Music,Special,1,unknown,unknown,unknown,unknown,Original,G - All Ages,7842,4
Isobe Isobee Monogatari Jump Festa Special,0,"Comedy, Historical, Shounen",Special,3,unknown,unknown,unknown,unknown,Manga,PG-13 - Teens 13 or older,9973,0
Cocolors,0,Sci-Fi,Movie,1,unknown,unknown,unknown,"Kamikaze Douga, Nishiki Studio",Original,0,7594,2
Hataraku Otona no Renai Jijou The Animation,6.47,Hentai,OVA,1,unknown,Pink Pineapple,unknown,unknown,Visual novel,Rx - Hentai,6816,11
Buddy Go! 2,6.17,"Comedy, Romance, Shoujo",Special,4,unknown,unknown,unknown,unknown,Manga,PG - Children,8626,7
Zero kara Hajimeru Mahou no Sho,7.1,"Action, Adventure, Magic, Fantasy",TV,12,Spring 2017,"Sotsu, Lantis, Half H.P Studio, Happinet Pictures, Infinite",Sentai Filmworks,White Fox,Light novel,PG-13 - Teens 13 or older,731,563
Tenshi no 3P!,6.66,"Music, School, Slice of Life",TV,12,Summer 2017,"Sotsu, Lantis, AT-X, Barnum Studio, KlockWorx, GAGA, ASCII Media Works, Studio Mausu, Showgate, Happinet Pictures, Hakuhodo DY Music & Pictures",Discotek Media,Project No.9,Light novel,PG-13 - Teens 13 or older,2261,77
Inazuma Eleven: Outer Code,6.8,Sports,ONA,6,unknown,Level-5,unknown,unknown,Game,G - All Ages,6378,8
Ima no Watashi ni Dekiru Koto...,5.77,Sci-Fi,ONA,2,unknown,unknown,unknown,TYO Animations,Original,G - All Ages,11405,1
Nikoniko♪Connie-chan,0,Kids,TV,5,Spring 2009,unknown,unknown,unknown,Other,G - All Ages,16632,0
Nezumi-kun no Kimochi,0,Kids,OVA,1,unknown,unknown,unknown,unknown,Book,G - All Ages,16782,0
Hikari Sasu Sora e,0,"Drama, Kids",OVA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,16235,0
Fushou Shita Senro to Tsuki,0,Kids,OVA,1,unknown,unknown,unknown,unknown,Book,G - All Ages,16927,0
Tsuki to Azarashi,0,Kids,OVA,1,unknown,unknown,unknown,unknown,Book,G - All Ages,16922,0
Shima no Kuregata no Hanashi,0,"Fantasy, Kids",OVA,1,unknown,unknown,unknown,Toei Video,Original,G - All Ages,16934,0
Tomodachi Miitsuketa,0,"Fantasy, Kids",OVA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,17034,0
Kizu-darake no Ringo,0,"Fantasy, Kids",OVA,1,unknown,unknown,unknown,unknown,Picture book,G - All Ages,16984,0
1-ri Botchi no Ookami to 7-hiki no Ko Yagi,0,"Fantasy, Kids",OVA,1,unknown,unknown,unknown,unknown,Book,G - All Ages,15192,0
Santa-san wa Dai Isogashi,0,"Fantasy, Kids",OVA,1,unknown,unknown,unknown,unknown,Picture book,G - All Ages,16635,0
Yot-chan no Fushigina Crayon,0,"Fantasy, Kids",OVA,1,unknown,Toei Animation,unknown,unknown,unknown,G - All Ages,16897,0
Nippon Mukashibanashi: Sannen Netarou,0,"Fantasy, Kids",OVA,1,unknown,unknown,unknown,unknown,Other,G - All Ages,17034,0
Anime Hachiko Monogatari,0,Kids,OVA,1,unknown,unknown,unknown,unknown,Other,G - All Ages,15473,1
"Trickster: Edogawa Ranpo ""Shounen Tanteidan"" yori OVA",6.21,Mystery,OVA,2,unknown,unknown,unknown,"TMS Entertainment, Shin-Ei Animation",Original,PG-13 - Teens 13 or older,6018,11
Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose♪ Tepple to Dokidoki Cocotama-kai,0,"Kids, Magic, Fantasy",Movie,1,unknown,"Lantis, Bandai",unknown,OLM,Original,PG - Children,12712,1
Kuni-chan no Ikka Ranran,0,"Slice of Life, Drama",Movie,1,unknown,unknown,unknown,Nippon Animation,Other,G - All Ages,16108,0
Hibike! Euphonium 2 Specials,6.68,"Music, Comedy, School",Special,7,unknown,unknown,unknown,Kyoto Animation,Original,PG-13 - Teens 13 or older,4144,13
GJ8man,0,"Comedy, Super Power",ONA,0,unknown,unknown,unknown,unknown,unknown,G - All Ages,14622,0
Dochamon Junior 2,0,"Comedy, Kids",TV,16,Fall 2016,unknown,unknown,Calf Studio,Original,G - All Ages,15264,0
Escha Chron,6.47,"Sci-Fi, Music, Slice of Life",OVA,2,unknown,"DIVE II Entertainment, Avex Pictures",unknown,Lerche,Other,PG-13 - Teens 13 or older,5834,8
Meiji Tokyo Renka,6.93,"Harem, Historical, Supernatural, Romance, Shoujo",TV,12,Winter 2019,"BS Fuji, MAGES., Tokyo MX, TV Aichi",Funimation,TMS Entertainment,Visual novel,PG-13 - Teens 13 or older,2869,196
Getsuyoubi no Tawawa,6.44,"Slice of Life, Ecchi",ONA,12,unknown,"NBCUniversal Entertainment Japan, i0+",unknown,Pine Jam,Other,PG-13 - Teens 13 or older,1769,159
Higanjima X,0,"Horror, Vampire, Fantasy, Seinen",ONA,12,unknown,unknown,unknown,unknown,Manga,R - 17+ (violence & profanity),11262,1
Forest Fairy Five,3.47,"Music, Comedy, Fantasy",TV,13,Winter 2017,"Showgate, Tokyo MX",unknown,unknown,Picture book,PG - Children,8173,1
Doubutsu Mura no Kodomo-tachi,0,Slice of Life,Movie,1,unknown,Gakken,unknown,unknown,Original,G - All Ages,16369,0
Ryuu no Me no Namida,0,"Fantasy, Kids",OVA,1,unknown,Gakken,unknown,unknown,Picture book,G - All Ages,16787,0
Hana Saki Yama,0,Kids,OVA,1,unknown,unknown,unknown,unknown,Picture book,G - All Ages,17038,0
Belle to Kaijuu Ouji,0,"Historical, Kids, Fantasy",Movie,1,unknown,Gakken,unknown,unknown,Book,G - All Ages,15647,1
Kimoshiba,0,"Comedy, Horror, Kids, Supernatural",TV,13,Fall 2016,unknown,unknown,"TMS Entertainment, Jinnis Animation Studios",Original,G - All Ages,13842,0
Ohayou! Kokekkou-san,0,"Comedy, Kids",TV,50,Fall 2016,TMS Music,unknown,"TMS Entertainment, TOCSIS",Original,G - All Ages,14974,0
Pittanko! Nekozakana,0,"Comedy, Kids",TV,50,Fall 2016,TMS Music,unknown,"TMS Entertainment, Studio Comet",Original,G - All Ages,14477,0
Anime-ban Toukaidou Yotsuya Kaidan,0,"Historical, Horror, Supernatural",Special,1,unknown,unknown,unknown,unknown,Other,PG-13 - Teens 13 or older,13157,0
Miraijin Go Home,0,Sci-Fi,ONA,0,unknown,unknown,unknown,unknown,Original,G - All Ages,16039,0
Osomatsu-san: Ouma de Kobanashi,7.27,"Comedy, Parody, Sports",Special,1,unknown,Avex Pictures,unknown,Studio Pierrot,Manga,R - 17+ (violence & profanity),5446,10
Mutsugo to Ouma no Monogatari,6.23,"Comedy, Parody, Sports",ONA,6,unknown,TV Tokyo,unknown,Studio Pierrot,Manga,PG-13 - Teens 13 or older,8687,4
Shelter,8.34,"Sci-Fi, Music",Music,1,unknown,Half H.P Studio,Crunchyroll,A-1 Pictures,Music,G - All Ages,539,2315
Miss Monochrome: Music Clips,6.31,Music,Music,14,unknown,Starchild Records,unknown,unknown,Original,G - All Ages,10021,0
Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri,6.82,"Sci-Fi, Adventure, Comedy, Seinen",Movie,1,unknown,unknown,unknown,Shin-Ei Animation,Manga,G - All Ages,9366,1
Kimi no Mana wa Rina Witch,6.73,Hentai,OVA,1,unknown,ZIZ Entertainment (ZIZ),unknown,T-Rex,Visual novel,Rx - Hentai,6545,20
Wu Kong Dazhan Er Lang Shen,0,"Action, Adventure",Movie,1,unknown,unknown,unknown,unknown,Novel,G - All Ages,16651,0
Aqua Kids,0,"Adventure, Kids",TV,26,Spring 2004,unknown,unknown,unknown,Original,G - All Ages,14971,3
Star Beat!: Hoshi no Kodou,6.82,Music,Music,1,unknown,Bushiroad,unknown,"Xebec, Issen",Original,PG-13 - Teens 13 or older,8545,4
Cinderella Girls Gekijou,6.54,"Comedy, Slice of Life",TV,13,Spring 2017,"Frontier Works, Half H.P Studio, Nippon Columbia, Bandai Namco Entertainment, Anime Consortium Japan",Crunchyroll,"Gathering, Lesprit",4-koma manga,PG-13 - Teens 13 or older,4175,30
Toruru's Adventure,0,"Adventure, Fantasy, Sci-Fi",Movie,1,unknown,unknown,unknown,Studio 4°C,Original,G - All Ages,16001,0
"Chotto Ugoku!? ""Futeneko""",0,Comedy,OVA,1,unknown,Aniplex,unknown,unknown,Other,G - All Ages,16188,0
Kai: Geoul Hosu-ui Jeonseol,0,"Adventure, Fantasy",Movie,1,unknown,unknown,unknown,Studio Dadashow,Book,G - All Ages,13076,1
Oushitsu Kyoushi Heine,7.47,"Slice of Life, Comedy, Historical, Shounen",TV,12,Spring 2017,"TV Tokyo, Square Enix, Sotsu, TV Osaka, AT-X, DAX Production, TV Tokyo Music, Avex Pictures, BS Japan, Dai Nippon Printing, Contents Seed, A-Sketch",Funimation,Bridge,Manga,PG-13 - Teens 13 or older,1361,719
Ninja Bear the Animation★,0,"Comedy, School",TV,0,unknown,"TV Tokyo, TriF Studio",unknown,KOO-KI,Original,G - All Ages,13029,0
Starly Girls: Episode Starsia,0,"Space, Mecha",ONA,12,unknown,Kadokawa Games,unknown,unknown,unknown,0,12075,0
"New Game!: Watashi, Shain Ryokou tte Hajimete nano de...",7.41,"Comedy, Ecchi, Slice of Life",OVA,1,unknown,"Kadokawa Shoten, Delfi Sound",unknown,Doga Kobo,4-koma manga,PG-13 - Teens 13 or older,1992,40
Grancrest Senki,7.25,"Action, Drama, Fantasy, Romance",TV,24,Winter 2018,"Aniplex, Bandai Namco Entertainment, Good Smile Company, BS11, ABC Animation, Kinoshita Group Holdings, Kadokawa, Cromea, Sonilude",Aniplex of America,A-1 Pictures,Light novel,R - 17+ (violence & profanity),698,952
Gamers!,6.92,"Game, Comedy, Romance, School",TV,12,Summer 2017,"Sony Pictures Entertainment, Frontier Works, Sotsu, Kadokawa Shoten, AT-X, NBCUniversal Entertainment Japan, Tokyo MX, i0+, Chugai Mining, BS11",Funimation,Pine Jam,Light novel,PG-13 - Teens 13 or older,283,1860
High School DxD Hero,7.28,"Action, Comedy, Demons, Ecchi, Harem, Romance, School",TV,12,Spring 2018,AT-X,Funimation,Passione,Light novel,R+ - Mild Nudity,453,2264
Nobunaga no Shinobi: Nobunaga to Minarai Shinobi,6.7,"Comedy, Historical",Special,1,unknown,unknown,unknown,unknown,4-koma manga,PG-13 - Teens 13 or older,7118,1
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,7.64,"Slice of Life, Drama, Magic, Fantasy",TV,6,Fall 2017,"Dentsu, Mainichi Broadcasting System, Pony Canyon, Movic, KlockWorx, Kadokawa",Ponycan USA,Studio Gokumi,Light novel,PG-13 - Teens 13 or older,2831,158
KiyaKiya,0,"Music, Psychological",Music,1,unknown,unknown,unknown,unknown,Original,G - All Ages,14823,0
Schoolgirl Strikers: Animation Channel,5.72,"Action, Sci-Fi, School",TV,13,Winter 2017,"Square Enix, Movic, Warner Bros. Japan, KlockWorx, BS11, Egg Firm",unknown,J.C.Staff,Game,PG-13 - Teens 13 or older,3867,23
Kirakira☆Precure A La Mode,6.92,"Action, Fantasy, Magic, Shoujo, Slice of Life",TV,49,Winter 2017,"Asatsu DK, Asahi Broadcasting, ABC Animation, Echoes",unknown,Toei Animation,Original,G - All Ages,5316,98
Kamigami no Ki,5.97,"Comedy, Historical, Supernatural",TV,17,Fall 2016,unknown,unknown,Sotsu,Original,PG - Children,11392,2
Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,6.11,"Slice of Life, Comedy",TV,12,Winter 2017,"Dream Creation, On-Lead",unknown,Seven,4-koma manga,PG-13 - Teens 13 or older,5268,15
Digimon Adventure tri. 4: Soushitsu,7.34,"Action, Adventure, Comedy, Drama",Movie,1,unknown,Sonilude,Shout! Factory,Toei Animation,Original,PG-13 - Teens 13 or older,2353,121
Quanzhi Fashi,7.29,"Action, Fantasy, Magic, School",ONA,12,unknown,"Tencent Penguin Pictures, China Literature Limited",unknown,Shanghai Foch Film Culture Investment,Novel,PG-13 - Teens 13 or older,1594,460
Precure Dream Stars! Movie,6.81,"Action, Comedy, Magic, Fantasy, Shoujo",Movie,1,unknown,Kinoshita Group Holdings,unknown,Toei Animation,Original,G - All Ages,8300,10
PriPara Movie: Mi~nna de Kagayake! Kirarin☆Star Live!,6.75,"Music, Slice of Life, School, Shoujo",Movie,1,unknown,unknown,unknown,Tatsunoko Production,Game,PG - Children,9956,3
Ring ni Kakero 1 Pilot,0,"Action, Sports, Shounen",OVA,1,unknown,Shueisha,unknown,Toei Animation,Manga,PG-13 - Teens 13 or older,13437,1
Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai Monogatari,0,"Comedy, Supernatural",TV,8,Winter 2017,unknown,unknown,DLE,Original,G - All Ages,11703,1
Tamagotchi Movie: Tanpen Himitsu no Otodoke Daisakusen!,0,"Cars, Kids",Movie,1,unknown,unknown,unknown,OLM,unknown,G - All Ages,12999,0
Ecchi na Shintai Sokutei Anime Edition,6.28,Hentai,OVA,1,unknown,Chippai,unknown,unknown,Manga,Rx - Hentai,6870,27
Saimin Class,6.29,Hentai,OVA,2,unknown,OLE-M,unknown,BreakBottle,Visual novel,Rx - Hentai,6537,16
Crayon Shin-chan Gaiden: Omocha Wars,6.39,"Action, Comedy, Ecchi, Seinen",ONA,13,unknown,Imagine,unknown,unknown,Manga,G - All Ages,10351,2
Shimajirou to Niji no Oasis,0,Kids,Movie,1,unknown,unknown,unknown,The Answer Studio,Original,G - All Ages,15183,0
Mekakucity V's,7.38,"Music, Romance, Super Power, Supernatural",Music,4,unknown,unknown,unknown,unknown,Music,PG-13 - Teens 13 or older,6642,18
Fate/Grand Order: First Order,6.78,"Action, Supernatural, Magic, Fantasy",Special,1,unknown,"Aniplex, Notes",Aniplex of America,Lay-duce,Game,PG-13 - Teens 13 or older,1071,237
Hi☆sCoool! SeHa Girls Special,0,"Comedy, Game, School, Sports",Special,1,unknown,Sega,unknown,TMS Entertainment,Other,PG-13 - Teens 13 or older,11232,0
Chiryokumaru,5.17,Action,ONA,1,unknown,unknown,unknown,Studio 4°C,Original,PG-13 - Teens 13 or older,8821,0
Pokemon XY&Z Specials,7.02,"Action, Adventure, Comedy, Kids, Fantasy",Special,2,unknown,unknown,The Pokemon Company International,OLM,Game,PG - Children,5637,4
Iwaki Meisei Daigaku,0,"School, Slice of Life",ONA,3,unknown,unknown,unknown,Production I.G,Original,G - All Ages,14884,0
Hulaing Babies,5.88,"Slice of Life, Comedy",TV,12,Winter 2019,unknown,unknown,Gaina,Original,PG-13 - Teens 13 or older,7568,3
Glass no Kamen Desu ga to Z Specials,0,"Comedy, Parody",Special,2,unknown,unknown,unknown,unknown,Manga,PG-13 - Teens 13 or older,13818,0
Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,6.26,"Historical, Romance",TV,12,Summer 2017,unknown,unknown,"TMS Entertainment, Jinnis Animation Studios",Game,PG-13 - Teens 13 or older,5579,47
Lost Song,7.01,"Drama, Fantasy",TV,12,Spring 2018,"Ultra Super Pictures, MAGES.",unknown,"Dwango, LIDENFILMS",Original,PG-13 - Teens 13 or older,2913,164
Hikoichi Tonchi Banashi,0,Historical,Movie,1,unknown,Gakken,unknown,unknown,Other,G - All Ages,16417,0
Maki to Kanta to Jiijii to.,0,Drama,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,17166,0
Pig: Oka no Ue no Dam Keeper,6.98,Fantasy,ONA,10,unknown,Tonko House,unknown,unknown,Original,PG - Children,11403,3
Rescue Academia,0,"Sci-Fi, Adventure",TV,0,unknown,unknown,unknown,Gaina,Original,G - All Ages,9825,2
Diamond no Ace: Second Season OVA,7.59,"Comedy, Sports, School, Shounen",OVA,2,unknown,unknown,unknown,"Production I.G, Madhouse",Manga,PG-13 - Teens 13 or older,5358,11
Alice to Zouroku,7.12,"Adventure, Mystery, Seinen",TV,12,Spring 2017,"Bandai Visual, Lantis, Tokuma Shoten, Tokyo MX, Hakuhodo DY Music & Pictures, Sony PCL",Funimation,J.C.Staff,Manga,PG-13 - Teens 13 or older,1410,204
Himitsukessha Taka no Tsume Specials,0,"Comedy, Parody, Super Power",Special,4,unknown,Kaeruotoko Shokai,unknown,DLE,Original,PG-13 - Teens 13 or older,14848,0
Himitsukessha Taka no Tsume: Christmas Daisakusen,0,"Comedy, Parody, Super Power",Special,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,14577,0
Cofun Gal no Coffy (TV): Christmas Daisakusen,0,"Comedy, Parody",Special,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,15981,0
Cofun Gal no Coffy (TV) Specials,0,"Comedy, Parody",Special,4,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,15849,0
Ocha-ken: Hotto Monogatari,0,"Kids, Slice of Life",TV,13,Winter 2006,Four Some,unknown,unknown,Other,G - All Ages,15053,0
Kyonyuu Reijou MC Gakuen,6.82,Hentai,OVA,2,unknown,unknown,unknown,T-Rex,Visual novel,Rx - Hentai,5702,26
Ocha-ken: Ryokutto Monogatari,0,"Slice of Life, Kids",TV,13,Fall 2008,Four Some,unknown,unknown,Original,G - All Ages,15271,0
Kimi dake no Boku de Iru kara,6.08,Music,Music,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,10642,2
Long Riders! Recap,5.71,"Slice of Life, Comedy, Sports, Shounen",Special,1,unknown,unknown,unknown,Actas,Manga,PG-13 - Teens 13 or older,9854,0
Vatican Kiseki Chousakan,6.39,"Mystery, Supernatural, Drama",TV,12,Summer 2017,"WOWOW, Lantis, Media Factory, Kadokawa Shoten, Movic, KBS, KlockWorx, Kadokawa Media House, Kadokawa Daiei Studio",Sentai Filmworks,J.C.Staff,Novel,R - 17+ (violence & profanity),2520,81
Himitsukessha Taka no Tsume Countdown Specials,0,"Comedy, Parody, Super Power",Special,5,unknown,unknown,unknown,DLE,Original,PG-13 - Teens 13 or older,14944,0
Cofun Gal no Coffy Campus Life Specials,0,"Comedy, Parody",Special,5,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,15938,0
Taka no Tsume x Ballad Katte ni Senden Movie,0,"Comedy, Parody",ONA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,14791,0
Cofun Gal no Coffy Campus Life: Intro,0,"Comedy, Parody",ONA,1,unknown,unknown,unknown,unknown,Original,G - All Ages,15506,0
Himitsukessha Taka no Tsume: Teikyou Kakutoku Daisakusen - Sakusen Kaigi,0,"Comedy, Parody",Special,12,unknown,unknown,unknown,DLE,Original,G - All Ages,14554,0
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,7.54,"Slice of Life, Drama, Magic, Fantasy",Movie,1,unknown,"Mainichi Broadcasting System, Pony Canyon, DAX Production",unknown,Studio Gokumi,Light novel,PG-13 - Teens 13 or older,4635,15
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,7.81,"Drama, Fantasy, Magic, Slice of Life",Movie,1,unknown,Pony Canyon,unknown,Studio Gokumi,Light novel,PG-13 - Teens 13 or older,4710,25
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,8.0,"Drama, Fantasy, Magic, Slice of Life",Movie,1,unknown,Pony Canyon,unknown,Studio Gokumi,Light novel,PG-13 - Teens 13 or older,4691,36
Citrus,6.51,"Drama, Romance, School, Shoujo Ai",TV,12,Winter 2018,"Sotsu, Lantis, AT-X, KlockWorx, Happinet Pictures, BS Fuji, Tokyo MX, Infinite, Children's Playground Entertainment, Ichijinsha, Crunchyroll SC Anime Fund",Funimation,Passione,Manga,PG-13 - Teens 13 or older,398,3861
Netsuzou TRap,5.37,"Drama, Romance, Shoujo Ai",TV,12,Summer 2017,"DMM.com, Ichijinsha, Cloud22",unknown,Creators in Pack,Manga,R+ - Mild Nudity,1271,260
Shikkoku no Shaga The Animation,7.27,Hentai,OVA,3,unknown,Pink Pineapple,unknown,Seven,Original,Rx - Hentai,4959,114
Koro-sensei Quest!,7.1,"Comedy, Magic, Shounen",ONA,12,unknown,unknown,Funimation,Lerche,Manga,PG-13 - Teens 13 or older,2678,51
Mobile Suit Gundam Thunderbolt 2nd Season,7.28,"Action, Military, Sci-Fi, Space, Drama, Mecha",ONA,4,unknown,unknown,unknown,Sunrise,Manga,R - 17+ (violence & profanity),4025,25
One Room,5.57,Slice of Life,TV,12,Winter 2017,Smiral Animation,unknown,Typhoon Graphics,Original,PG-13 - Teens 13 or older,1539,133
Room Mate,4.76,"Harem, Slice of Life",TV,12,Spring 2017,Smiral Animation,unknown,Typhoon Graphics,Original,PG-13 - Teens 13 or older,3626,39
Yuuki Yuuna wa Yuushabu Shozoku,6.49,"Slice of Life, Comedy, Magic, Fantasy",Movie,1,unknown,unknown,unknown,W-Toon Studio,Manga,PG-13 - Teens 13 or older,7109,5
Taimanin Asagi 3,6.48,"Hentai, Demons, Supernatural",OVA,2,unknown,ZIZ Entertainment (ZIZ),unknown,Studio Eromatick,Visual novel,Rx - Hentai,6431,34
Love Kome: We Love Rice,4.64,Slice of Life,TV,12,Spring 2017,"Just Production, Kanetsu Investment",unknown,Encourage Films,Original,PG-13 - Teens 13 or older,5015,9
Hajimete no Gal,6.31,"Comedy, Ecchi, Romance, School, Shounen",TV,10,Summer 2017,"Kadokawa Shoten, AT-X, KlockWorx, Toranoana, MAGES., Glovision, Kadokawa Media House, Sun TV, Kanetsu Investment",Funimation,NAZ,Manga,R+ - Mild Nudity,412,1129
Punpun Polka,4.93,"Kids, Music",Music,1,unknown,NHK,unknown,unknown,Original,G - All Ages,13959,0
Chuuko Video-ya no Onna Tenin X,5.71,"Comedy, Shounen",ONA,1,unknown,unknown,unknown,unknown,Manga,PG-13 - Teens 13 or older,12517,0
Ba La La Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,0,"Comedy, Magic, Shoujo",TV,26,Fall 2016,"B.CMAY PICTURES, Alpha Group Co. Ltd.",unknown,Qianqi Animation,Original,G - All Ages,11435,0
Taishou Mebiusline: Chicchai-san,4.73,"Historical, Supernatural",TV,12,Fall 2017,unknown,unknown,Studio A-CAT,Visual novel,PG-13 - Teens 13 or older,4821,22
Hashiri Hajimeta bakari no Kimi ni,6.63,Music,Music,1,unknown,Bushiroad,unknown,"Xebec, Issen",Original,PG-13 - Teens 13 or older,8639,2
Nanbaka 2,7.51,"Action, Comedy, Drama",ONA,12,unknown,comico,Funimation,Satelight,Web manga,PG-13 - Teens 13 or older,1473,347
The Snack World: Hitogirai no Renny,0,"Adventure, Comedy, Fantasy, Kids",Movie,1,unknown,Level-5,unknown,unknown,Original,G - All Ages,14422,0
SAIGO,0,Dementia,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,16845,0
Hibi no Awa,5.68,Music,Music,1,unknown,unknown,unknown,unknown,Music,PG-13 - Teens 13 or older,14949,1
Isekai Izakaya: Koto Aitheria no Izakaya Nobu,7.38,Fantasy,ONA,24,unknown,Kadokawa,unknown,Sunrise,Light novel,PG-13 - Teens 13 or older,3312,80
Two Tea Two,5.14,Dementia,Movie,1,unknown,unknown,unknown,Decovocal,Original,R+ - Mild Nudity,14703,0
Spring has come!,0,Music,ONA,1,unknown,unknown,unknown,Decovocal,Original,G - All Ages,15641,0
How Low Sympathy,0,Music,Music,1,unknown,unknown,unknown,Decovocal,Music,G - All Ages,16450,0
Rokuko-chan,0,Kids,Special,1,unknown,unknown,unknown,Decovocal,Original,G - All Ages,16630,0
Union Union,0,Kids,Special,1,unknown,unknown,unknown,Decovocal,Original,G - All Ages,16343,0
